(141.625|38.542),(141.625|38.625),(141.625|38.708),(141.625|38.792),(141.625|38.875),(141.625|38.958),(141.625|39.042),(141.625|39.125),(141.708|38.542),(141.708|38.625),(141.708|38.708),(141.708|38.792),(141.708|38.875),(141.708|38.958),(141.708|39.042),(141.708|39.125),(141.792|38.542),(141.792|38.625),(141.792|38.708),(141.792|38.792),(141.792|38.875),(141.792|38.958),(141.792|39.042),(141.792|39.125),(141.875|38.542),(141.875|38.625),(141.875|38.708),(141.875|38.792),(141.875|38.875),(141.875|38.958),(141.875|39.042),(141.875|39.125),(141.958|38.542),(141.958|38.625),(141.958|38.708),(141.958|38.792),(141.958|38.875),(141.958|38.958),(141.958|39.042),(141.958|39.125),(142.042|38.542),(142.042|38.625),(142.042|38.708),(142.042|38.792),(142.042|38.875),(142.042|38.958),(142.042|39.042),(142.042|39.125),(142.125|38.542),(142.125|38.625),(142.125|38.708),(142.125|38.792),(142.125|38.875),(142.125|38.958),(142.125|39.042),(142.125|39.125),(142.208|38.542),(142.208|38.625),(142.208|38.708),(142.208|38.792),(142.208|38.875),(142.208|38.958),(142.208|39.042),(142.208|39.125),(142.292|38.542),(142.292|38.625),(142.292|38.708),(142.292|38.792),(142.292|38.875),(142.292|38.958),(142.292|39.042),(142.292|39.125)
20130101,2.04936981,1.79102528,1.99527133,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.49658298,2.19168687,1.79284203,2.26790547,2.21604061,0.00000000,0.00000000,0.00000000,2.85810661,2.35306168,2.46795344,2.20881534,1.92428565,2.68751359,2.63828468,0.00000000,2.40905523,1.72568810,2.08374143,2.02914095,2.23282528,2.51695013,2.39707303,0.00000000,1.68436551,1.21430731,1.32272696,1.53855658,1.96856606,2.40791607,2.41047478,3.38824821,1.31003225,1.08396816,1.01944077,1.12071073,1.22888970,1.80104744,2.23806119,2.98578906,0.979523659,0.792441070,1.14613318,1.17269659,1.19910252,1.44564974,1.44949734,1.91627610,0.769552290,0.820178747,1.25788152,1.06432867,1.34660721,1.46102858,1.45959997,1.71219313,0.976026714,1.18861914,1.42669225,1.19769883,1.54853725,1.39625311,1.65623653,1.66738093
20130102,2.02639365,1.91954470,2.02276635,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.20535278,1.99809682,1.98386383,2.06651211,2.16664457,0.00000000,0.00000000,0.00000000,2.46399188,2.12815785,2.00410533,1.93064952,2.13408351,2.40077496,2.39924860,0.00000000,2.39806819,1.63195717,1.58069038,1.58358514,1.94239402,2.30507874,2.45140767,0.00000000,2.12434840,1.29860151,0.972478569,1.06876445,1.72069931,2.11331177,2.45733380,2.98766518,1.46937871,1.01648498,0.735919178,0.690086067,0.854294598,1.33536386,1.94467068,2.71872401,1.03653634,0.585383654,0.720336020,0.690393448,0.718291998,0.871984601,0.994049668,1.77292538,0.535253167,0.350183696,0.970904648,0.656941593,1.01450741,0.907663345,1.02747190,1.37292004,1.11253738,1.12174296,1.48107135,0.868040085,1.52790582,1.00329030,1.49580646,1.33881700
20130103,1.33920872,1.27831471,1.33210349,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.34204376,1.17809939,1.25371718,1.44389975,1.49902296,0.00000000,0.00000000,0.00000000,1.49647355,1.25120914,1.08603871,1.28020811,1.61312413,1.87004876,1.87142825,0.00000000,1.41965246,0.888684452,0.724413991,0.925389051,1.39073431,1.72474909,1.83766973,0.00000000,1.50105560,0.823457360,0.332575649,0.494591922,1.05536246,1.48401082,1.79953825,2.28541946,1.19847631,0.476615280,-0.264020474E-02,-0.145594075,0.806283653E-01,0.741075814,0.788932979,1.98587358,0.508123934,0.206846669,-0.241590217E-01,-0.202621087,-0.374142341E-01,0.943905562E-01,0.183253944,1.03767025,-0.338008674E-02,-0.365047753,0.239061430,-0.172515094,0.286381423,-0.341249742E-01,0.623150647,0.681750655,0.339415163,0.109784164,0.660308957,-0.168536514,0.494332612,-0.100509688,0.738284290,0.658986688
20130104,0.507203102,0.512853324,0.572694302,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.394610137,0.327097386,0.542726099,0.764835715,0.857989669,0.00000000,0.00000000,0.00000000,0.287067562,0.127600014,0.278006405,0.641212046,0.966785610,1.16554880,1.16585052,0.00000000,0.795346685E-02,-0.315149963,-0.198447078,0.164462030,0.580540419,0.971213043,0.899399161,0.00000000,0.287943035,-0.419509590,-0.708675206,-0.405969471,0.450112298E-01,0.705739558,0.488417745,1.16583359,-0.649732426E-01,-0.754708648,-1.14144039,-1.22777140,-0.871324241,-0.160317272,-0.286164433,1.07634485,-0.722208023,-0.768861771,-0.920633614,-1.22929728,-0.901444793,-0.692068040,-0.513648510,0.250746340,-1.03187215,-1.11300862,-0.604835749,-1.15699768,-0.837516189,-1.07150912,-0.436691463,-0.236402348,-0.720349550,-0.837084234,-0.516365886,-1.14585567,-0.761464596,-0.918640852,-0.193146631,0.385368504E-01
20130105,-0.251708686,-0.102674775,-0.857059062E-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.524299264,-0.188610718,-0.772177279E-01,0.203209862,0.270700157,0.00000000,0.00000000,0.00000000,-0.719331622,-0.451603889,-0.291697085,0.732808709E-01,0.307171643,0.390504003,0.365757674,0.00000000,-1.22317183,-1.08920193,-0.865884423,-0.400208980,-0.854810923E-01,0.100950480,-0.298276603,0.00000000,-1.21487617,-1.69248712,-1.46548748,-1.03850091,-0.653129697,-0.252118766,-0.487694770,0.170404211,-1.56342638,-2.09492898,-2.07240105,-1.97900152,-1.43636632,-0.759840906,-0.566641986,0.161736742,-1.94026256,-1.72803581,-1.75347579,-2.07544279,-1.80368185,-1.42804551,-1.02234507,-0.289119095,-2.09483457,-1.65743339,-1.60209608,-2.05179429,-1.76593757,-1.37469840,-0.570896983,-0.551575303,-1.70408857,-1.57467365,-1.55659771,-1.86900330,-1.43948555,-0.703981936,-0.115681864,0.338069081
20130106,-0.449374735,-0.191595510,-0.219634548,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.470362365,-0.125672385,-0.143433914,0.164926082,0.146341726,0.00000000,0.00000000,0.00000000,-0.689582586,-0.207328185,-0.333688200,0.989025906E-01,0.962312296E-01,0.206323490E-01,-0.122621603,0.00000000,-1.25137830,-0.780119181,-0.782518446,-0.432392478,-0.352300197,-0.358401924,-0.563164294,0.00000000,-1.80523825,-1.48553026,-1.42042720,-1.13703537,-0.805296957,-0.352634281,-0.310574740,0.193702672E-01,-2.15472555,-2.04186034,-2.07552862,-1.88395572,-1.35543656,-0.587862551,-0.355241656,0.517014936E-01,-2.05308700,-1.63468874,-1.97615314,-2.08301544,-1.48917329,-0.872705042,-0.700720549,-0.418850690,-1.95959008,-1.48957217,-1.82926738,-1.97239220,-1.10392964,-0.317734629,-0.157631293,-0.170764178,-1.56460035,-1.42837811,-1.54963326,-1.56825089,-1.12133753,-0.650706351,-0.369782656,0.497276001E-01
20130107,-0.283418864,-0.148540527,-0.138904780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.281236708,-0.100430012,-0.128254220,0.245742723,0.267641962,0.00000000,0.00000000,0.00000000,-0.426962167,-0.100936651,-0.344982058,0.118030444,-0.146611957E-01,-0.161449119,-0.227326781,0.00000000,-0.772121549,-0.479377806,-0.942351401,-0.268528968,-0.299202114,-0.226482138,-0.342008293,0.00000000,-1.26341593,-1.10062706,-1.49512720,-0.662987173,-0.366231680,0.552222170E-01,-0.652217641E-01,0.118165486,-1.53747678,-1.55091214,-1.76205742,-1.11736548,-0.456174403,0.265200553E-02,-0.155165851,0.142713189E-01,-1.26402760,-1.31579828,-1.75349724,-1.37482095,-0.578404307,-0.185758635,-0.188611910,-0.151208177,-1.10042274,-1.08563650,-1.44991708,-1.42912817,-0.837396026,-0.391769886,0.166621413E-01,0.190640002,-0.858393192,-0.916042924,-0.970339239,-1.05882120,-0.973082304,-0.781240761,0.598585978E-01,0.467983603
20130108,-0.427255407E-01,-0.166496858E-01,-0.311340229E-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.275205504E-01,0.134756379E-01,-0.900154114E-01,0.427197456,0.445013016,0.00000000,0.00000000,0.00000000,-0.502169728E-01,-0.109411843,-0.332918555,0.331379652,0.183019284E-01,-0.460046232E-01,-0.162624240,0.00000000,-0.316878259,-0.562593877,-0.607648253,0.280552417,-0.153928762E-01,0.398901068E-01,-0.773994178E-01,0.00000000,-0.672393918,-0.921965361,-0.727159560,0.175211653,0.102511697,0.405482531,0.160022020,0.262304455,-0.905458748,-1.09567904,-1.03450179,-0.393696308,-0.138970152,0.312147975,0.878418982E-01,0.689265728E-01,-0.685953140,-1.05348468,-1.19935012,-0.943681896,-0.543442428,0.278574787E-01,0.326535702,0.325918853,-0.435443819,-0.680514574,-0.840851128,-0.940514982,-0.672851562,-0.107024759,0.512016058,0.760136247,-0.318334192,-0.454467773,-0.398122460,-0.369079202,-0.219904885,0.153612763,0.691809297,1.06144035
20130109,0.287565589,0.180713460,0.126133978,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.257240146,0.133642882,0.132998914,0.680935681,0.508303821,0.00000000,0.00000000,0.00000000,0.158438027,-0.615151040E-01,0.149314970,0.540858328,0.226154953,0.147588864,-0.263043754E-01,0.00000000,-0.514151789E-01,-0.216548651,0.299649239,0.597959757,0.288294017,0.284221709,0.197117984,0.00000000,-0.239497170,-0.329389989,0.410968252E-01,0.414595544,0.352635831,0.751115620,0.478897840,0.485900044,-0.406450719,-0.587895930,-0.559205651,-0.206686571,0.160070926,0.801765203,0.468373507,0.285815567,-0.235141724,-0.586049616,-0.572905183,-0.468522102,0.626443401E-01,0.708347917,0.898788035,0.738603055,0.102420896,-0.202630892,-0.586033314E-01,-0.215773165,0.183534369,0.743805945,1.11689651,1.21770036,0.133769184,-0.220456272E-01,0.399933457,0.345752269,0.576540351,0.867065132,1.20561135,1.39733100
20130110,0.329778731,0.185115665,0.237957701,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.179502130,0.818028077E-01,0.333991885,0.683801472,0.501547575,0.00000000,0.00000000,0.00000000,-0.388669339E-02,0.381540209E-01,0.410782516,0.485680282,0.276572883,0.156832829,0.708445311E-01,0.00000000,-0.367070213E-01,0.995994806E-01,0.437614709,0.479913801,0.405790895,0.298387200,0.331736773,0.00000000,-0.163172796,-0.177401751,-0.244167564E-02,0.352366716,0.621439636,0.847316027,0.647093654,0.535218120,-0.335108459,-0.488895893,-0.310564101,0.110139832,0.712586761,1.08719635,0.662348866,0.520780802,-0.824790671E-01,-0.315714538,-0.106457146E-01,0.637709275E-01,0.728815079,1.15054607,1.15085852,0.927643538,0.241133288,0.742915198E-01,0.513645589,0.120070107,0.557511508,1.07844746,1.31170821,1.30212617,0.251556188,0.196336091,0.754196525,0.446112245,0.537483931,0.783350706,1.10680020,1.30503690
